"naam","totinv","totpart","rate","sex","age","invited","participant","agec","age1","age2","age3","age4","age5","male","female"
"Aalst",9745,4166,0.427501282709082,"male","50_54",1599,523,1,1,0,0,0,0,1,0
"Aalst",9745,4166,0.427501282709082,"female","50_54",1444,590,1,1,0,0,0,0,0,1
"Aalst",9745,4166,0.427501282709082,"male","55_59",1287,430,2,0,1,0,0,0,1,0
"Aalst",9745,4166,0.427501282709082,"female","55_59",1199,494,2,0,1,0,0,0,0,1
"Aalst",9745,4166,0.427501282709082,"male","60_64",842,408,3,0,0,1,0,0,1,0
"Aalst",9745,4166,0.427501282709082,"female","60_64",810,448,3,0,0,1,0,0,0,1
"Aalst",9745,4166,0.427501282709082,"male","65_69",653,322,4,0,0,0,1,0,1,0
"Aalst",9745,4166,0.427501282709082,"female","65_69",642,319,4,0,0,0,1,0,0,1
"Aalst",9745,4166,0.427501282709082,"male","70_74",588,274,5,0,0,0,0,1,1,0
"Aalst",9745,4166,0.427501282709082,"female","70_74",681,358,5,0,0,0,0,1,0,1
"Aalter",3373,1831,0.542840201600949,"male","50_54",591,279,1,1,0,0,0,0,1,0
"Aalter",3373,1831,0.542840201600949,"female","50_54",523,288,1,1,0,0,0,0,0,1
"Aalter",3373,1831,0.542840201600949,"male","55_59",407,176,2,0,1,0,0,0,1,0
"Aalter",3373,1831,0.542840201600949,"female","55_59",375,197,2,0,1,0,0,0,0,1
"Aalter",3373,1831,0.542840201600949,"male","60_64",303,181,3,0,0,1,0,0,1,0
"Aalter",3373,1831,0.542840201600949,"female","60_64",276,179,3,0,0,1,0,0,0,1
"Aalter",3373,1831,0.542840201600949,"male","65_69",231,142,4,0,0,0,1,0,1,0
"Aalter",3373,1831,0.542840201600949,"female","65_69",235,151,4,0,0,0,1,0,0,1
"Aalter",3373,1831,0.542840201600949,"male","70_74",209,109,5,0,0,0,0,1,1,0
"Aalter",3373,1831,0.542840201600949,"female","70_74",223,129,5,0,0,0,0,1,0,1
"Aarschot",3488,1707,0.489392201834862,"male","50_54",529,204,1,1,0,0,0,0,1,0
"Aarschot",3488,1707,0.489392201834862,"female","50_54",504,226,1,1,0,0,0,0,0,1
"Aarschot",3488,1707,0.489392201834862,"male","55_59",463,196,2,0,1,0,0,0,1,0
"Aarschot",3488,1707,0.489392201834862,"female","55_59",436,219,2,0,1,0,0,0,0,1
"Aarschot",3488,1707,0.489392201834862,"male","60_64",310,168,3,0,0,1,0,0,1,0
"Aarschot",3488,1707,0.489392201834862,"female","60_64",305,177,3,0,0,1,0,0,0,1
"Aarschot",3488,1707,0.489392201834862,"male","65_69",228,128,4,0,0,0,1,0,1,0
"Aarschot",3488,1707,0.489392201834862,"female","65_69",239,144,4,0,0,0,1,0,0,1
"Aarschot",3488,1707,0.489392201834862,"male","70_74",215,104,5,0,0,0,0,1,1,0
"Aarschot",3488,1707,0.489392201834862,"female","70_74",259,141,5,0,0,0,0,1,0,1
"Aartselaar",1467,733,0.499659168370825,"male","50_54",239,95,1,1,0,0,0,0,1,0
"Aartselaar",1467,733,0.499659168370825,"female","50_54",214,96,1,1,0,0,0,0,0,1
"Aartselaar",1467,733,0.499659168370825,"male","55_59",166,62,2,0,1,0,0,0,1,0
"Aartselaar",1467,733,0.499659168370825,"female","55_59",156,73,2,0,1,0,0,0,0,1
"Aartselaar",1467,733,0.499659168370825,"male","60_64",145,91,3,0,0,1,0,0,1,0
