"naam","totinv","totpart","rate","sex","age","invited","participant"
"Aalst",9745,4166,0.427501282709082,"male","50_54",1599,523
"Aalst",9745,4166,0.427501282709082,"female","50_54",1444,590
"Aalst",9745,4166,0.427501282709082,"male","55_59",1287,430
"Aalst",9745,4166,0.427501282709082,"female","55_59",1199,494
"Aalst",9745,4166,0.427501282709082,"male","60_64",842,408
"Aalst",9745,4166,0.427501282709082,"female","60_64",810,448
"Aalst",9745,4166,0.427501282709082,"male","65_69",653,322
"Aalst",9745,4166,0.427501282709082,"female","65_69",642,319
"Aalst",9745,4166,0.427501282709082,"male","70_74",588,274
"Aalst",9745,4166,0.427501282709082,"female","70_74",681,358
"Aalter",3373,1831,0.542840201600949,"male","50_54",591,279
"Aalter",3373,1831,0.542840201600949,"female","50_54",523,288
"Aalter",3373,1831,0.542840201600949,"male","55_59",407,176
"Aalter",3373,1831,0.542840201600949,"female","55_59",375,197
"Aalter",3373,1831,0.542840201600949,"male","60_64",303,181
"Aalter",3373,1831,0.542840201600949,"female","60_64",276,179
"Aalter",3373,1831,0.542840201600949,"male","65_69",231,142
"Aalter",3373,1831,0.542840201600949,"female","65_69",235,151
"Aalter",3373,1831,0.542840201600949,"male","70_74",209,109
"Aalter",3373,1831,0.542840201600949,"female","70_74",223,129
"Aarschot",3488,1707,0.489392201834862,"male","50_54",529,204
"Aarschot",3488,1707,0.489392201834862,"female","50_54",504,226
"Aarschot",3488,1707,0.489392201834862,"male","55_59",463,196
"Aarschot",3488,1707,0.489392201834862,"female","55_59",436,219
"Aarschot",3488,1707,0.489392201834862,"male","60_64",310,168
"Aarschot",3488,1707,0.489392201834862,"female","60_64",305,177
"Aarschot",3488,1707,0.489392201834862,"male","65_69",228,128
"Aarschot",3488,1707,0.489392201834862,"female","65_69",239,144
"Aarschot",3488,1707,0.489392201834862,"male","70_74",215,104
"Aarschot",3488,1707,0.489392201834862,"female","70_74",259,141
"Aartselaar",1467,733,0.499659168370825,"male","50_54",239,95
"Aartselaar",1467,733,0.499659168370825,"female","50_54",214,96
"Aartselaar",1467,733,0.499659168370825,"male","55_59",166,62
"Aartselaar",1467,733,0.499659168370825,"female","55_59",156,73
"Aartselaar",1467,733,0.499659168370825,"male","60_64",145,91
"Aartselaar",1467,733,0.499659168370825,"female","60_64",132,82
"Aartselaar",1467,733,0.499659168370825,"male","65_69",94,57
"Aartselaar",1467,733,0.499659168370825,"female","65_69",107,63
"Aartselaar",1467,733,0.499659168370825,"male","70_74",102,55
"Aartselaar",1467,733,0.499659168370825,"female","70_74",112,59
"Affligem",1497,660,0.440881763527054,"male","50_54",251,88
"Affligem",1497,660,0.440881763527054,"female","50_54",221,85
"Affligem",1497,660,0.440881763527054,"male","55_59",198,67
"Affligem",1497,660,0.440881763527054,"female","55_59",200,82
"Affligem",1497,660,0.440881763527054,"male","60_64",108,53
"Affligem",1497,660,0.440881763527054,"female","60_64",109,63
"Affligem",1497,660,0.440881763527054,"male","65_69",94,45
"Affligem",1497,660,0.440881763527054,"female","65_69",105,71
"Affligem",1497,660,0.440881763527054,"male","70_74",101,55
"Affligem",1497,660,0.440881763527054,"female","70_74",110,51
"Alken",1357,768,0.565954310980103,"male","50_54",195,94
"Alken",1357,768,0.565954310980103,"female","50_54",210,116
"Alken",1357,768,0.565954310980103,"male","55_59",167,69
"Alken",1357,768,0.565954310980103,"female","55_59",144,76
"Alken",1357,768,0.565954310980103,"male","60_64",164,98
"Alken",1357,768,0.565954310980103,"female","60_64",134,93
"Alken",1357,768,0.565954310980103,"male","65_69",86,50
"Alken",1357,768,0.565954310980103,"female","65_69",76,53
"Alken",1357,768,0.565954310980103,"male","70_74",92,60
"Alken",1357,768,0.565954310980103,"female","70_74",89,59
"Alveringem",468,196,0.418803418803419,"male","50_54",71,18
"Alveringem",468,196,0.418803418803419,"female","50_54",75,30
"Alveringem",468,196,0.418803418803419,"male","55_59",75,29
"Alveringem",468,196,0.418803418803419,"female","55_59",47,24
"Alveringem",468,196,0.418803418803419,"male","60_64",46,24
"Alveringem",468,196,0.418803418803419,"female","60_64",44,25
"Alveringem",468,196,0.418803418803419,"male","65_69",28,12
"Alveringem",468,196,0.418803418803419,"female","65_69",30,14
"Alveringem",468,196,0.418803418803419,"male","70_74",30,12
"Alveringem",468,196,0.418803418803419,"female","70_74",22,8
"Antwerpen",49104,18527,0.377301238188335,"male","50_54",9116,2454
"Antwerpen",49104,18527,0.377301238188335,"female","50_54",7753,2645
"Antwerpen",49104,18527,0.377301238188335,"male","55_59",6690,1963
"Antwerpen",49104,18527,0.377301238188335,"female","55_59",5654,2108
"Antwerpen",49104,18527,0.377301238188335,"male","60_64",4040,1786
"Antwerpen",49104,18527,0.377301238188335,"female","60_64",4012,1996
"Antwerpen",49104,18527,0.377301238188335,"male","65_69",2929,1337
"Antwerpen",49104,18527,0.377301238188335,"female","65_69",3098,1556
"Antwerpen",49104,18527,0.377301238188335,"male","70_74",2701,1215
"Antwerpen",49104,18527,0.377301238188335,"female","70_74",3111,1467
"Anzegem",1668,814,0.488009592326139,"male","50_54",274,102
"Anzegem",1668,814,0.488009592326139,"female","50_54",246,114
"Anzegem",1668,814,0.488009592326139,"male","55_59",224,93
"Anzegem",1668,814,0.488009592326139,"female","55_59",201,95
"Anzegem",1668,814,0.488009592326139,"male","60_64",135,71
"Anzegem",1668,814,0.488009592326139,"female","60_64",134,86
"Anzegem",1668,814,0.488009592326139,"male","65_69",116,76
"Anzegem",1668,814,0.488009592326139,"female","65_69",121,74
"Anzegem",1668,814,0.488009592326139,"male","70_74",104,48
"Anzegem",1668,814,0.488009592326139,"female","70_74",113,55
"Ardooie",1002,506,0.50499001996008,"male","50_54",149,56
"Ardooie",1002,506,0.50499001996008,"female","50_54",124,65
"Ardooie",1002,506,0.50499001996008,"male","55_59",134,58
"Ardooie",1002,506,0.50499001996008,"female","55_59",133,68
"Ardooie",1002,506,0.50499001996008,"male","60_64",92,47
"Ardooie",1002,506,0.50499001996008,"female","60_64",88,54
"Ardooie",1002,506,0.50499001996008,"male","65_69",73,39
"Ardooie",1002,506,0.50499001996008,"female","65_69",76,43
"Ardooie",1002,506,0.50499001996008,"male","70_74",62,31
"Ardooie",1002,506,0.50499001996008,"female","70_74",71,45
"Arendonk",1587,884,0.557025834908633,"male","50_54",263,117
"Arendonk",1587,884,0.557025834908633,"female","50_54",250,140
"Arendonk",1587,884,0.557025834908633,"male","55_59",234,128
"Arendonk",1587,884,0.557025834908633,"female","55_59",185,105
"Arendonk",1587,884,0.557025834908633,"male","60_64",143,84
"Arendonk",1587,884,0.557025834908633,"female","60_64",137,85
"Arendonk",1587,884,0.557025834908633,"male","65_69",96,57
"Arendonk",1587,884,0.557025834908633,"female","65_69",81,55
"Arendonk",1587,884,0.557025834908633,"male","70_74",96,55
"Arendonk",1587,884,0.557025834908633,"female","70_74",102,58
"As",923,497,0.538461538461538,"male","50_54",146,61
"As",923,497,0.538461538461538,"female","50_54",118,57
"As",923,497,0.538461538461538,"male","55_59",124,64
"As",923,497,0.538461538461538,"female","55_59",109,55
"As",923,497,0.538461538461538,"male","60_64",88,54
"As",923,497,0.538461538461538,"female","60_64",88,61
"As",923,497,0.538461538461538,"male","65_69",65,38
"As",923,497,0.538461538461538,"female","65_69",62,38
"As",923,497,0.538461538461538,"male","70_74",59,31
"As",923,497,0.538461538461538,"female","70_74",64,38
"Asse",3617,1357,0.375172795134089,"male","50_54",610,173
"Asse",3617,1357,0.375172795134089,"female","50_54",589,182
"Asse",3617,1357,0.375172795134089,"male","55_59",461,134
"Asse",3617,1357,0.375172795134089,"female","55_59",458,164
"Asse",3617,1357,0.375172795134089,"male","60_64",290,133
"Asse",3617,1357,0.375172795134089,"female","60_64",301,141
"Asse",3617,1357,0.375172795134089,"male","65_69",218,106
"Asse",3617,1357,0.375172795134089,"female","65_69",248,119
"Asse",3617,1357,0.375172795134089,"male","70_74",202,96
"Asse",3617,1357,0.375172795134089,"female","70_74",240,109
"Assenede",1677,871,0.51937984496124,"male","50_54",260,117
"Assenede",1677,871,0.51937984496124,"female","50_54",244,116
"Assenede",1677,871,0.51937984496124,"male","55_59",239,106
"Assenede",1677,871,0.51937984496124,"female","55_59",192,108
"Assenede",1677,871,0.51937984496124,"male","60_64",139,83
"Assenede",1677,871,0.51937984496124,"female","60_64",157,100
"Assenede",1677,871,0.51937984496124,"male","65_69",126,73
"Assenede",1677,871,0.51937984496124,"female","65_69",103,59
"Assenede",1677,871,0.51937984496124,"male","70_74",97,54
"Assenede",1677,871,0.51937984496124,"female","70_74",120,55
"Avelgem",1162,516,0.444061962134251,"male","50_54",181,62
"Avelgem",1162,516,0.444061962134251,"female","50_54",164,70
"Avelgem",1162,516,0.444061962134251,"male","55_59",155,57
"Avelgem",1162,516,0.444061962134251,"female","55_59",134,59
"Avelgem",1162,516,0.444061962134251,"male","60_64",100,51
"Avelgem",1162,516,0.444061962134251,"female","60_64",101,45
"Avelgem",1162,516,0.444061962134251,"male","65_69",85,41
"Avelgem",1162,516,0.444061962134251,"female","65_69",85,42
"Avelgem",1162,516,0.444061962134251,"male","70_74",78,48
"Avelgem",1162,516,0.444061962134251,"female","70_74",79,41
"Baarle-Hertog",326,172,0.52760736196319,"male","50_54",54,21
"Baarle-Hertog",326,172,0.52760736196319,"female","50_54",54,28
"Baarle-Hertog",326,172,0.52760736196319,"male","55_59",37,16
"Baarle-Hertog",326,172,0.52760736196319,"female","55_59",55,31
"Baarle-Hertog",326,172,0.52760736196319,"male","60_64",24,15
"Baarle-Hertog",326,172,0.52760736196319,"female","60_64",27,17
"Baarle-Hertog",326,172,0.52760736196319,"male","65_69",24,12
"Baarle-Hertog",326,172,0.52760736196319,"female","65_69",15,10
"Baarle-Hertog",326,172,0.52760736196319,"male","70_74",12,5
"Baarle-Hertog",326,172,0.52760736196319,"female","70_74",24,17
"Balen",2521,1375,0.545418484728282,"male","50_54",406,163
"Balen",2521,1375,0.545418484728282,"female","50_54",374,199
"Balen",2521,1375,0.545418484728282,"male","55_59",338,161
"Balen",2521,1375,0.545418484728282,"female","55_59",301,159
"Balen",2521,1375,0.545418484728282,"male","60_64",245,152
"Balen",2521,1375,0.545418484728282,"female","60_64",228,142
"Balen",2521,1375,0.545418484728282,"male","65_69",169,100
"Balen",2521,1375,0.545418484728282,"female","65_69",173,119
"Balen",2521,1375,0.545418484728282,"male","70_74",131,83
"Balen",2521,1375,0.545418484728282,"female","70_74",156,97
"Beernem",1947,1057,0.542886492039034,"male","50_54",289,116
"Beernem",1947,1057,0.542886492039034,"female","50_54",237,119
"Beernem",1947,1057,0.542886492039034,"male","55_59",281,137
"Beernem",1947,1057,0.542886492039034,"female","55_59",261,146
"Beernem",1947,1057,0.542886492039034,"male","60_64",182,112
"Beernem",1947,1057,0.542886492039034,"female","60_64",149,99
"Beernem",1947,1057,0.542886492039034,"male","65_69",131,75
"Beernem",1947,1057,0.542886492039034,"female","65_69",128,80
"Beernem",1947,1057,0.542886492039034,"male","70_74",168,95
"Beernem",1947,1057,0.542886492039034,"female","70_74",121,78
"Beerse",1971,1074,0.544901065449011,"male","50_54",322,143
"Beerse",1971,1074,0.544901065449011,"female","50_54",298,147
"Beerse",1971,1074,0.544901065449011,"male","55_59",277,137
"Beerse",1971,1074,0.544901065449011,"female","55_59",236,122
"Beerse",1971,1074,0.544901065449011,"male","60_64",187,118
"Beerse",1971,1074,0.544901065449011,"female","60_64",193,125
"Beerse",1971,1074,0.544901065449011,"male","65_69",107,71
"Beerse",1971,1074,0.544901065449011,"female","65_69",124,84
"Beerse",1971,1074,0.544901065449011,"male","70_74",108,53
"Beerse",1971,1074,0.544901065449011,"female","70_74",119,74
"Beersel",2734,919,0.336137527432334,"male","50_54",456,129
"Beersel",2734,919,0.336137527432334,"female","50_54",443,116
"Beersel",2734,919,0.336137527432334,"male","55_59",360,100
"Beersel",2734,919,0.336137527432334,"female","55_59",351,103
"Beersel",2734,919,0.336137527432334,"male","60_64",218,85
"Beersel",2734,919,0.336137527432334,"female","60_64",239,108
"Beersel",2734,919,0.336137527432334,"male","65_69",175,81
"Beersel",2734,919,0.336137527432334,"female","65_69",179,72
"Beersel",2734,919,0.336137527432334,"male","70_74",145,61
"Beersel",2734,919,0.336137527432334,"female","70_74",168,64
"Begijnendijk",1279,634,0.495699765441751,"male","50_54",195,68
"Begijnendijk",1279,634,0.495699765441751,"female","50_54",197,83
"Begijnendijk",1279,634,0.495699765441751,"male","55_59",178,75
"Begijnendijk",1279,634,0.495699765441751,"female","55_59",127,53
"Begijnendijk",1279,634,0.495699765441751,"male","60_64",100,60
"Begijnendijk",1279,634,0.495699765441751,"female","60_64",140,87
"Begijnendijk",1279,634,0.495699765441751,"male","65_69",81,54
"Begijnendijk",1279,634,0.495699765441751,"female","65_69",87,53
"Begijnendijk",1279,634,0.495699765441751,"male","70_74",86,51
"Begijnendijk",1279,634,0.495699765441751,"female","70_74",88,50
"Bekkevoort",813,417,0.512915129151292,"male","50_54",127,49
"Bekkevoort",813,417,0.512915129151292,"female","50_54",112,56
"Bekkevoort",813,417,0.512915129151292,"male","55_59",112,45
"Bekkevoort",813,417,0.512915129151292,"female","55_59",100,43
"Bekkevoort",813,417,0.512915129151292,"male","60_64",81,54
"Bekkevoort",813,417,0.512915129151292,"female","60_64",73,38
"Bekkevoort",813,417,0.512915129151292,"male","65_69",51,33
"Bekkevoort",813,417,0.512915129151292,"female","65_69",55,34
"Bekkevoort",813,417,0.512915129151292,"male","70_74",48,26
"Bekkevoort",813,417,0.512915129151292,"female","70_74",54,39
"Beringen",4893,2580,0.52728387492336,"male","50_54",806,319
"Beringen",4893,2580,0.52728387492336,"female","50_54",728,351
"Beringen",4893,2580,0.52728387492336,"male","55_59",646,259
"Beringen",4893,2580,0.52728387492336,"female","55_59",557,313
"Beringen",4893,2580,0.52728387492336,"male","60_64",427,264
"Beringen",4893,2580,0.52728387492336,"female","60_64",453,279
"Beringen",4893,2580,0.52728387492336,"male","65_69",311,188
"Beringen",4893,2580,0.52728387492336,"female","65_69",350,240
"Beringen",4893,2580,0.52728387492336,"male","70_74",302,187
"Beringen",4893,2580,0.52728387492336,"female","70_74",313,180
"Berlaar",1430,760,0.531468531468531,"male","50_54",188,70
"Berlaar",1430,760,0.531468531468531,"female","50_54",202,98
"Berlaar",1430,760,0.531468531468531,"male","55_59",201,98
"Berlaar",1430,760,0.531468531468531,"female","55_59",188,96
"Berlaar",1430,760,0.531468531468531,"male","60_64",133,77
"Berlaar",1430,760,0.531468531468531,"female","60_64",144,102
"Berlaar",1430,760,0.531468531468531,"male","65_69",81,48
"Berlaar",1430,760,0.531468531468531,"female","65_69",86,59
"Berlaar",1430,760,0.531468531468531,"male","70_74",97,53
"Berlaar",1430,760,0.531468531468531,"female","70_74",110,59
"Berlare",1833,968,0.52809601745772,"male","50_54",310,125
"Berlare",1833,968,0.52809601745772,"female","50_54",280,141
"Berlare",1833,968,0.52809601745772,"male","55_59",241,120
"Berlare",1833,968,0.52809601745772,"female","55_59",217,123
"Berlare",1833,968,0.52809601745772,"male","60_64",159,98
"Berlare",1833,968,0.52809601745772,"female","60_64",149,90
"Berlare",1833,968,0.52809601745772,"male","65_69",109,66
"Berlare",1833,968,0.52809601745772,"female","65_69",130,79
"Berlare",1833,968,0.52809601745772,"male","70_74",108,53
"Berlare",1833,968,0.52809601745772,"female","70_74",130,73
"Bertem",1099,582,0.529572338489536,"male","50_54",161,84
"Bertem",1099,582,0.529572338489536,"female","50_54",172,84
"Bertem",1099,582,0.529572338489536,"male","55_59",128,51
